SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,19,So,14,0,O,600,12,8,56,W,N,N,N,6000,D,S,N,S,N,M,W
M,23,S,15,1,In,0,12,3,21,O,Y,Y,N, ,N,N,N,N,Y,R,D
F,20,S,15,2,In,300,11,3,21,O,Y,Y,N,20000,N,N,N,N,N,R,D
F,19,S,15,0,In,700,10,3,21,O,N,N,N,10000,Y,Y,N,N,Y,R,D
M,22,S,15,3,I,700,10,1,7,N,N,Y,Y,9000,N,N,Y,N,N,M,N
F,19,S,15,1,In,600,10,5.5,38.5,O,N,N,N,22500,Y,N,Y,S,N,R,D
F,19,S,12,0,In,600,10,3,21,O,Y,Y,N,15000,Y,Y,Y,S,Y,R,D
M,19,So,15,1,In,500,10,2,14,N,N,I,N,6000,D,Y,Y,S,Y,I,N
F,21,J,15,0,In,450,10,8,56,M,Y,Y,Y,140000,Y,N,N,Y,N,M,D
F,18,F,15,0,I,450,10,4,28,W,Y,I,W,5500,Y,S,Y,N,Y,R,W
M,19,So,12,1,In,426,10,4,28,Mo,N,I,N,6500,N,Y,Y,N,Y,R,Mo
F,18,S,16,0,In,400,10,1,7,M,N,Y,Y, ,Y,N,N,N,Y,R,D
F,18,F,15,0,I,350,10,2,14,W,N,N,N,10000,Y,N,N,Y,Y,I,W
F,18,F,15,1,In,300,10,3,21,O,Y,Y,Y,12000,Y,Y,N,S,N,R,D
F,18,F,15,1,In,300,10,3,21,O,Y,Y,Y,12000,Y,Y,N,S,N,R,D
F,18,F,15,0,In,300,10,2,14,W,N,Y,N,6000,N,Y,N,Y,Y,R,W
F,20,J,12,0,In,300,10,2,14,W,Y,Y,N,15000,Y,S,N,Y,N,L,W
F,20,So,14,3,In,263,10,2,14,W,N,Y,Y,9000,Y,S,N,N,Y,R,W
M,19,F,15,0,In,250,10,2,14,Mo,N,N,N,15000,Y,Y,Y,N,N,R,Mo
M,19,F,15,0,In,250,10,2,14,Mo,N,N,N,15000,Y,Y,Y,N,N,R,Mo
F,22,J,12,3,I,250,10,2,14,M,N,N,N,20000,D,Y,Y,N,Y,M,D
M,18,F,16,1,In,240,10,2,14,W,Y,Y,N,6000,Y,Y,N,Y,N,R,W
F,19,S,15,0,In,200,10,5,35,M,N,N,N,10000,Y,N,N,Y,Y,R,D
M,20,S,15,0,In,200,10,2,14,Mo,Y,Y,N,5000,N,Y,Y,N,N,R,Mo
M,19,S,14,9,In,200,10,2,14,W,N,Y,N,9000,Y,Y,N,Y,N,R,W
M,18,F,12,0,In,200,10,0,0,Mo,N,N,N,22000,D,Y,Y,N,Y,I,Mo
F,19,So,16,1,In,175,10,2,14,W,Y,Y,N,6000,Y,S,N,Y,Y,L,W
F,19,S,15,1,In,175,10,4,28,W,N,N,N,6000,Y,Y,N,S,Y,R,W
F,20,S,17,0,In,150,10,1,7,O,Y,Y,N,5000,Y,N,N,S,Y,R,D
M,19,S,13,3,In,150,10,2,14,O,Y,Y,N,11000,Y,Y,Y,N,Y,R,D
F,20,J,12,2,In,150,10,4,28,O,Y,I,N,5500,Y,Y,N,N,N,R,D
F,22,S,12,2,O,150,10,1,7,O,Y,Y,N,14000,Y,Y,N,S,Y,R,D
F,22,S,12,0,In,115,10,5,35,W,N,N,N,24000,Y,Y,N,S,Y,R,W
M,20,J,14,1,O,100,10,3,21,O,Y,Y,N,11000,Y,S,N,S,Y,L,D
F,18,F,13,1,O,100,10,6,42,N,N,N,N,4000,N,Y,N,S,Y,L,N
M,19,S,13,1,In,100,10,2,14,W,N,Y,N, ,Y,N,N,Y,Y,R,W
F,17,F,12,0,In,90,10,2,14,Mo,N,Y,N,20000,Y,Y,N,Y,N,R,Mo
F,17,F,12,0,In,90,10,2,14,Mo,N,Y,N,20000,Y,Y,N,Y,N,R,Mo
M,19,S,13,1,In, ,10,2,14,O,N,Y,Y,11000,N,Y,Y,N,Y,R,D
M,20,J,14,1,In,600,10,4,28,O,N,N,Y,10000,Y,N,Y,N,Y,L,D
F,19,S,12,0,In,600,10,3,21,O,Y,Y,N,15000,Y,S,Y,S,Y,R,D
M,20,J,16,0,In,300,10,2.5,17.5,W,Y,Y,Y,12861,Y,S,Y,N,Y,R,W
F,18,F,14,1,O,215,10,2.5,17.5,W,Y,Y,N,12000,D,N,Y,N,N,R,W
M,21,J,16,2,In,160,10,2,14,W,Y,Y,N,18000,D,S,N,N,Y,R,W
M,20,S,12,2,O,1300,9,2,14,W,N,Y,N,20000,Y,Y,Y,Y,Y,R,W
F,19,S,15,0,In,750,9,5,35,O,N,N,N,20000,Y,S,N,S,Y,R,D
F,19,S,13,0,In,708,9,1,7,O,N,Y,Y,15000,N,Y,N,N,Y,R,D
F,21,J,16,3,O,650,9,12,84,O,N,N,N,5500,D,Y,N,N,Y,I,D
F,18,F,15,0,O,630,9,1,7,O,Y,Y,N,6000,Y,N,N,N,N,I,D
F,20,J,16,1,In,600,9,3,21,O,N,Y,N,11000,Y,S,N,N,N,R,D
F,21,S,15,1,In,600,9,3,21,M,Y,Y,N,11000,Y,S,N,N,N,L,D
F,19,S,13,3,In,600,9,1,7,W,Y,Y,N,13000,Y,S,Y,S,Y,R,W
F,21,S,20,0,In,500,9,5,35,O,N,N,N,12000,Y,N,Y,S,N,R,D
F,20,J,18,2,In,500,9,5,35,M,Y,Y,N,12000,Y,Y,N,N,Y,R,D
F,19,S,16,0,In,500,9,3,21,O,Y,Y,N,24500,Y,N,N,S,Y,R,D
M,20,J,15,2,In,500,9,5,35,O,Y,Y,Y,6000,Y,Y,Y,N,Y,R,D
F,20,J,15,3,In,500,9,5,35,O,Y,Y,Y,24000,Y,S,N,S,Y,R,D
F,19,S,15,1,In,500,9,4,28,W,N,N,N,22000,Y,Y,Y,S,N,R,W
F,18,F,15,0,In,500,9,3,21,M,N,N,N,15000,Y,N,N,Y,N,R,D
F,19,S,15,1,In,500,9,3,21,O,Y,Y,N,11000,Y,N,N,S,Y,R,D
M,20,S,15,1,In,500,9,2,14,M,Y,Y,N,10000,Y,Y,N,N,Y,R,D
M,18,F,15,0,In,500,9,0,0,O,N,N,N,10000,N,N,Y,S,Y,R,D
F,20,J,18,1,O,490,9,5,35,O,Y,Y,Y,10000,Y,N,N,S,N,R,D
F,19,S,15,0,In,474,9,2,14,M,Y,Y,N,14000,Y,Y,Y,Y,N,R,D
M,20,G,15,1,In,470,9,4,28,Mo,N,N,N,10000,N,N,N,N,Y,R,Mo
M,20,J,14,2,In,470,9,4,28,W,N,Y,N,10000,N,Y,N,S,Y,R,W
F,19,So,15,1,In,450,9,6,42,O,N,Y,N,8000,Y,N,N,Y,N,R,D
F,19,S,15,0,In,450,9,3,21,M,Y,Y,N,22000,Y,S,N,S,Y,R,D
F,18,F,14,2,I,450,9,3,21,W,N,I,N,6000,Y,N,Y,S,N,R,W
F,21,S,12,2,O,450,9,1,7,W,Y,Y,N,15300,Y,Y,N,S,Y,R,W
F,20,J,15,0,In,430,9,9,63,W,N,N,N,7000,Y,Y,Y,S,Y,R,W
F,19,F,16,0,O,400,9,2,14,W,N,Y,N,17000,D,Y,N,S,Y,R,W
F,19,F,16,0,O,400,9,2,14,W,N,Y,N,17000,D,Y,N,S,Y,R,W
M,21,S,16,0,In,400,9,2,14,W,N,N,Y,8000,Y,Y,N,N,N,R,W
M,19,F,15,0,In,400,9,6,42,W,N,N,N,5681.5,N,N,N,N,Y,R,W
M,19,S,15,0,In,400,9,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,L,W
M,19,S,15,0,In,400,9,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,L,W
F,18,F,15,9,In,400,9,3,21,O,N,N,N,5000,D,Y,Y,S,Y,R,D
M,20,So,15,1,In,400,9,3,21,W,N,N,N,11000,N,N,N,Y,Y,M,W
M,20,So,15,1,In,400,9,3,21,O,Y,Y,N,10000,N,Y,Y,N,Y,R,D
F,21,J,15,0,In,400,9,3,21,Mo,Y,Y,N,5000,Y,S,Y,S,Y,I,Mo
M,19,S,15,1,In,400,9,2,14,M,Y,Y,N,12000,Y,Y,N,S,Y,R,D
F,19,S,15,0,In,400,9,2,14,W,N,Y,N,11000,Y,N,Y,N,N,R,W
M,19,So,15,0,In,400,9,2,14,W,Y,Y,N,7000,Y,Y,N,Y,N,R,W
F,20,S,15,1,In,400,9,2,14,W,N,N,Y,10000,N,Y,N,Y,N,R,W
M,21,J,15,0,In,400,9,2,14,O,Y,N,N,12000,Y,Y,Y,N,Y,R,D
